time_series_name,index
z_NVC8NN0168_MO_BlankRow_AN_1,373
z_NVC8NN0168_MO_AN_netincome,374
z_NVC8NN0168_MO_AN_seniorconvertiblenotesinterestexpense,375
z_NVC8NN0168_MO_AN_numeratorfordilutedearningspershare,376
z_NVC8NN0168_MO_BlankRow_AN_2,377
MO_Section_RevisedIncomeStatement,378
z_NVC8NN0168_MO_Section_RIS_RevisedIncomeStatement,378
MO_RIS_REV,379
z_NVC8NN0168_MO_RIS_NetRevenue,379
z_NVC8NN0168_MO_RIS_consensusestimatesnetrevenue,380
z_NVC8NN0168_MO_BlankRow_RIS,381
MO_RIS_COGS,382
z_NVC8NN0168_MO_RIS_COGS_1,382
MO_RIS_GP,383
